2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12
357690,359550,361614,376308,389339,402455,405911,400609,387156,377376,369437,372049
356939,363427,364429,381283,393589,404180,405226,396905,382072,373336,368306,373667
358174,368650,368693,386551,397485,404934,403483,392312,376715,369539,367879,375745
361217,374709,374031,391698,400721,404560,400628,386953,371381,366270,368323,378309
365700,381071,379972,396331,403027,402968,396676,381046,366457,363850,369764,381359
371140,387249,386020,400116,404198,400150,391739,374924,362378,362595,372247,384839
377035,392851,391715,402807,404109,396200,386032,369013,359577,362745,375705,388625
382930,397598,396677,404253,402733,391312,379879,363807,358409,364416,379952,392524
388460,401328,400633,404408,400141,385785,373705,359805,359068,367555,384703,396288
393374,403982,403418,403325,396502,380003,367999,357433,361548,371941,389604,399640
397525,405582,404977,401147,392075,374411,363268,356964,365631,377215,394275,402298
400856,406212,405347,398088,387189,369468,359956,358453,370929,382935,398354,404011
403373,405987,404641,394413,382217,365585,358375,361732,376954,388639,401529,404580
405122,405031,403028,390411,377537,363071,358647,366440,383194,393897,403568,403883
406158,403461,400704,386367,373491,362081,360676,372102,389180,398353,404332,401891
406530,401364,397872,382530,370340,362598,364186,378210,394529,401749,403785,398676
406261,398797,394718,379091,368239,364452,368777,384293,398966,403933,401993,394417
405345,395789,391394,376171,367223,367366,374004,389969,402328,404858,399117,389398
403747,392346,388011,373820,367219,371012,379448,394957,404555,404575,395401,383983
401419,388481,384634,372034,368082,375074,384757,399089,405671,403215,391149,378596
398312,384229,381303,370780,369635,379286,389678,402288,405770,400969,386696,373671
394408,379681,378045,370026,371708,383452,394044,404554,404985,398067,382375,369605
389741,375002,374907,369765,374167,387442,397774,405933,403467,394748,378476,366697
384423,370442,371972,370024,376921,391183,400839,406499,401364,391235,375218,365111
378670,366335,369379,370865,379919,394633,403243,406329,398801,387718,372729,364855
372803,363062,367323,372358,383130,397756,405000,405485,395873,384330,371040,365801
367248,361003,366032,374557,386519,400506,406112,404004,392639,381155,370103,367721
362491,360465,365733,377468,390023,402810,406559,401899,389136,378230,369827,370349
359023,361614,366601,381018,393539,404566,406298,399162,385390,375565,370108,373426
357252,364429,368714,385052,396915,405646,405265,395782,381442,373177,370862,376741
357421,368693,372014,389339,399960,405911,403388,391764,377376,371105,372049,380149
