2022-01,20 22-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12
383566,397635,399744,405884,403383,391492,378800,363683,359962,364772,380898,391832
386950,400397,402569,405925,401269,387440,374557,362272,363096,370206,387042,396641
390280,402654,404573,405176,398571,383515,371136,362388,367436,376250,392673,400483
393527,404394,405814,403763,395485,379929,368726,363901,372537,382408,397469,403154
396632,405575,406353,401791,392179,376830,367399,366555,377962,388259,401223,404561
399499,406123,406234,399340,388783,374295,367114,370031,383334,393485,403837,404714
401987,405939,405478,396456,385386,372342,367748,374003,388368,397884,405310,403713
403922,404912,404073,393164,382043,370947,369128,378186,392875,401353,405717,401731
405113,402941,401987,389477,378789,370080,371080,382362,396755,403875,405187,398991
405378,399957,399178,385424,375664,369721,373454,386386,399971,405492,403874,395742
404561,395953,395618,381074,372738,369884,376146,390172,402528,406278,401940,392227
402562,391002,391316,376556,370127,370612,379090,393673,404444,406319,399525,388664
399361,385284,386348,372081,367998,371967,382249,396859,405733,405689,396744,385219
395030,379092,380875,367938,366558,374002,385589,399693,406386,404439,393670,382002
389756,372833,375165,364479,366024,376732,389056,402113,406367,402588,390344,379066
383837,367001,369587,362072,366580,380107,392561,404027,405616,400132,386789,376426
377676,362126,364590,361043,368329,383996,395968,405317,404059,397054,383028,374080
371755,358701,360657,361607,371256,388191,399098,405843,401624,393340,379113,372040
366585,357092,358228,363811,375212,392424,401744,405466,398268,389012,375150,370353
362638,357467,357616,367515,379927,396392,403686,404064,393998,384147,371314,369117
360272,359756,358939,372409,385046,399788,404716,401563,388900,378906,367857,368473
359668,363672,362087,378065,390168,402337,404666,397951,383156,373546,365082,368582
360799,368777,366741,384003,394902,403815,403423,393306,377058,368420,363315,369592
363447,374567,372439,389757,398901,404078,400956,387810,371006,363952,362837,371590
367259,380554,378659,394922,401894,403067,397326,381754,365481,360590,363829,374570
371820,386321,384895,399187,403700,400824,392698,375536,360995,358736,366321,378412
376729,391559,390713,402348,404241,397488,387339,369634,358016,358660,370169,382885
381644,396067,395787,404308,403534,393288,381609,364558,356882,360443,375074,387673
386315,399744,399901,405068,401692,388531,375941,360784,357730,363947,380625,392411
390582,402569,402952,404711,398900,383576,370790,358674,360462,368843,386361,396728
394364,404573,404927,403383,395407,378800,366590,358410,364772,374665,391832,400286
